Case,Element,Shader,Interpolator,Total Elems,Vis Elems,Total Px,Shaded Px,Geom Time [ms],Raster Time [ms],Save Time [ms],Frame Time [ms],E2E Time [ms],Geom TP [MElem/s],Raster TP [MPx/s],Frame TP [MPx/s],E2E TP [MPx/s]
tri3_nodal_grey,tri3,nodal_grey,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,10.970448,4.761054,0.000351,15.731853,18.945199,18.668335,336.060040,101.704485,84.454114
tri3_nodal_rgb,tri3,nodal_rgb,nodal,204800.000000,204800.000000,1600000.000000,1664000.000000,21.952408,8.013174,0.000321,29.965903,33.828905,9.329273,199.671191,53.394019,47.296831
tri3_tex8_grey_linear_direct,tri3,tex8_grey,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,11.889722,9.275326,0.000350,21.165398,30.282712,17.224961,172.500675,75.595082,52.835426
tri3_tex8_grey_cubic_catmull_rom_direct,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,13.571700,14.354520,0.000642,27.926862,37.077879,15.090225,111.463149,57.292509,43.152414
tri3_tex8_grey_cubic_catmull_rom_lut_lerp,tri3,tex8_grey,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,11.194800,13.840826,0.001193,25.036819,35.010041,18.294208,115.600037,63.905882,45.701175
tri3_tex8_grey_cubic_mitchell_netravali_lut_lerp,tri3,tex8_grey,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,10.893731,14.041621,0.000390,24.935742,33.913478,18.799803,113.946958,64.164924,47.178883
tri3_tex8_grey_lanczos3_lut_lerp,tri3,tex8_grey,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,13.063775,17.781727,0.000501,30.846003,40.836720,15.676939,89.980012,51.870578,39.180424
tri3_tex8_grey_cubic_bspline_lut_lerp,tri3,tex8_grey,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,11.539049,14.568361,0.000381,26.107791,42.869440,17.748430,109.827042,61.284388,37.322624
tri3_tex8_grey_quintic_bspline_direct,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,11.094315,21.263748,0.000642,32.358705,41.470767,18.459905,75.245437,49.445736,38.581394
tri3_tex8_grey_quintic_bspline_lut_lerp,tri3,tex8_grey,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,12.906192,17.722683,0.000551,30.629426,40.354676,15.868352,90.279784,52.237348,39.648441
tri3_tex8_rgb_linear_direct,tri3,tex8_rgb,linear,204800.000000,204800.000000,1600000.000000,1664000.000000,19.891955,11.944376,0.000371,31.836702,40.861517,10.295620,133.954256,50.256462,39.156647
tri3_tex8_rgb_cubic_catmull_rom_direct,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,19.606748,18.596109,0.000501,38.203358,47.709095,10.445383,86.039504,41.881135,33.536582
tri3_tex8_rgb_cubic_catmull_rom_lut_lerp,tri3,tex8_rgb,cubic_catmull_rom,204800.000000,204800.000000,1600000.000000,1664000.000000,20.167954,19.720035,0.000321,39.888310,49.605183,10.154724,81.135759,40.112003,32.254694
tri3_tex8_rgb_cubic_mitchell_netravali_lut_lerp,tri3,tex8_rgb,cubic_mitchell_netravali,204800.000000,204800.000000,1600000.000000,1664000.000000,20.811079,18.799048,0.000370,39.610497,48.471217,9.840912,85.110693,40.393333,33.009281
tri3_tex8_rgb_lanczos3_lut_lerp,tri3,tex8_rgb,lanczos3,204800.000000,204800.000000,1600000.000000,1664000.000000,19.277586,26.222160,0.000561,45.500307,54.268309,10.623737,61.017094,35.164598,29.483137
tri3_tex8_rgb_cubic_bspline_lut_lerp,tri3,tex8_rgb,cubic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,18.490405,17.642319,0.000521,36.133245,44.858115,11.076015,90.691025,44.280551,35.668017
tri3_tex8_rgb_quintic_bspline_direct,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,19.727469,30.629056,0.000601,50.357126,59.421877,10.381464,52.237980,31.773060,26.926110
tri3_tex8_rgb_quintic_bspline_lut_lerp,tri3,tex8_rgb,quintic_bspline,204800.000000,204800.000000,1600000.000000,1664000.000000,18.456781,27.533586,0.000581,45.990948,55.503189,11.096193,58.110847,34.789455,28.827172
tri3_texfunc_grey_param_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,10.109927,4.977520,0.000381,15.087828,17.865136,20.257317,321.445218,106.045748,89.559912
tri3_texfunc_grey_uv_constant,tri3,texfunc_grey,constant,204800.000000,204800.000000,1600000.000000,1664000.000000,11.409240,5.346107,0.000851,16.756198,25.522177,17.950363,299.283198,95.487055,62.690577
