134,136,135,263,264,265
135,136,137,264,266,267
138,140,139,268,269,270
139,140,141,269,271,272
142,144,143,273,274,275
145,146,23,276,277,278
147,148,16,279,280,281
149,151,150,282,283,284
152,153,146,285,286,287
152,146,154,287,288,289
149,150,155,284,290,291
156,158,157,292,293,294
157,158,159,293,295,296
160,135,137,297,267,298
160,137,20,298,299,300
161,163,162,301,302,303
134,135,164,265,304,305
134,164,165,305,306,307
162,163,45,302,308,309
143,144,53,274,310,311
144,52,53,312,119,310
166,144,142,313,273,314
166,142,167,314,315,316
168,170,169,317,318,319
169,170,167,318,320,321
171,173,172,322,323,324
174,176,175,325,326,327
175,176,177,326,328,329
178,180,179,330,331,332
179,180,181,331,333,334
180,178,182,330,335,336
180,182,183,336,337,338
184,178,179,339,332,340
184,179,65,340,341,342
185,187,186,343,344,345
138,189,188,346,347,348
190,191,166,349,350,351
190,166,192,351,352,353
173,171,137,322,354,355
45,163,44,308,356,111
170,193,192,357,358,359
194,172,173,360,323,361
195,197,196,362,363,364
138,188,198,348,365,366
199,147,200,367,368,369
200,147,17,368,370,371
201,193,170,372,357,373
171,172,19,324,374,375
201,170,168,373,317,376
201,168,13,376,377,378
188,202,190,379,380,381
188,190,203,381,382,383
166,204,144,384,385,313
144,204,52,385,386,312
205,193,201,387,372,388
206,168,169,389,319,390
205,207,193,391,392,387
193,207,203,392,393,394
189,138,139,346,270,395
189,139,208,395,396,397
138,198,140,366,398,268
140,198,209,398,399,400
205,201,14,388,401,402
210,199,209,403,404,405
190,211,191,406,407,349
191,211,51,407,408,409
139,212,208,410,411,396
208,212,48,411,412,413
210,148,199,414,415,403
210,209,198,405,399,416
213,194,214,417,418,419
196,197,215,363,420,421
188,216,202,422,423,379
202,216,50,423,424,425
147,199,148,367,415,279
196,215,217,421,426,427
212,197,195,428,362,429
212,195,47,429,430,431
214,194,141,418,432,433
191,204,166,434,384,350
212,139,197,410,435,428
197,139,141,435,272,436
189,208,216,397,437,438
218,155,150,439,290,440
218,150,42,440,441,442
207,148,210,443,414,444
207,210,203,444,445,393
202,211,190,446,406,380
200,214,199,447,448,369
187,177,219,449,450,451
220,195,196,452,364,453
200,213,214,454,419,447
189,216,188,438,422,347
219,177,221,450,455,456
208,49,216,457,458,437
207,205,148,391,459,443
214,141,140,433,271,460
213,172,194,461,360,417
174,222,8,462,463,464
9,174,8,465,464,75
223,224,221,466,467,468
