0.000000000000000000e+00,-1.668527987443783889e-01,0.000000000000000000e+00
8.337854334960329017e-03,-1.945627703345874371e-01,0.000000000000000000e+00
2.662358387954898153e-02,-2.174982748166931212e-01,0.000000000000000000e+00
2.530444756465139236e-02,-2.425923399448771944e-01,0.000000000000000000e+00
2.125237953381795344e-02,-2.715508897359367735e-01,0.000000000000000000e+00
1.095279603909125529e-02,-2.966810979781777657e-01,0.000000000000000000e+00
2.464956203322178976e-02,-3.161651258490895122e-01,0.000000000000000000e+00
5.403429342325914014e-02,-3.192530581867340511e-01,0.000000000000000000e+00
8.226127964365019529e-02,-3.279300540203087255e-01,0.000000000000000000e+00
1.108818288560029230e-01,-3.354859652287398020e-01,0.000000000000000000e+00
1.392511024637302086e-01,-3.438917805957265039e-01,0.000000000000000000e+00
1.682840278281617086e-01,-3.496190317845002671e-01,0.000000000000000000e+00
1.976349082927349454e-01,-3.533943953821381267e-01,0.000000000000000000e+00
2.271253501379344730e-01,-3.559040612745090759e-01,0.000000000000000000e+00
2.566803716669282531e-01,-3.575233867356423789e-01,0.000000000000000000e+00
2.862678411765001707e-01,-3.585430826190248998e-01,0.000000000000000000e+00
3.158545863058440095e-01,-3.591622776677566575e-01,0.000000000000000000e+00
3.454534573701212863e-01,-3.594298165549609236e-01,0.000000000000000000e+00
3.750484176962672334e-01,-3.590591931635579992e-01,0.000000000000000000e+00
4.045949327647345717e-01,-3.573119558164376541e-01,0.000000000000000000e+00
4.339892644683699952e-01,-3.538826431722290056e-01,0.000000000000000000e+00
4.632901258206068573e-01,-3.496570767266685142e-01,0.000000000000000000e+00
4.922462322555347658e-01,-3.436007387564329330e-01,0.000000000000000000e+00
5.211532162637108057e-01,-3.373358510181184711e-01,0.000000000000000000e+00
5.506907065979643745e-01,-3.373953352331016675e-01,0.000000000000000000e+00
5.800841987960861923e-01,-3.408163676943463116e-01,0.000000000000000000e+00
6.096109227920039064e-01,-3.428804760795884921e-01,0.000000000000000000e+00
6.392311816940602354e-01,-3.426474729314880618e-01,0.000000000000000000e+00
6.683066044610337375e-01,-3.374996812790784229e-01,0.000000000000000000e+00
6.975705174810208353e-01,-3.395058362747890301e-01,0.000000000000000000e+00
7.255328112058592183e-01,-3.492544472805265698e-01,0.000000000000000000e+00
7.533848101129807517e-01,-3.591607768923097410e-01,0.000000000000000000e+00
7.816829846118652503e-01,-3.678637140073915401e-01,0.000000000000000000e+00
8.108782423765327207e-01,-3.726651791129289570e-01,0.000000000000000000e+00
8.325306829909813189e-01,-3.685142449220717431e-01,0.000000000000000000e+00
8.472843393135257584e-01,-3.559209696259198474e-01,0.000000000000000000e+00
8.282114743826762826e-01,-3.336537746412039374e-01,0.000000000000000000e+00
8.355569070201102067e-01,-3.290987506747520275e-01,0.000000000000000000e+00
8.455990966752312543e-01,-3.105933277460641295e-01,0.000000000000000000e+00
8.286585993798266658e-01,-2.874496605035236074e-01,0.000000000000000000e+00
8.016550157463168125e-01,-2.753380844678849915e-01,0.000000000000000000e+00
7.736877631198345595e-01,-2.658813635077470483e-01,0.000000000000000000e+00
7.445632706990228389e-01,-2.607073870067490029e-01,0.000000000000000000e+00
7.159150282941859622e-01,-2.532546442423821986e-01,0.000000000000000000e+00
6.872359012573070469e-01,-2.462174726109107592e-01,0.000000000000000000e+00
6.577923588365691687e-01,-2.465541217613171077e-01,0.000000000000000000e+00
6.680715980373151952e-01,-2.380324362471974431e-01,0.000000000000000000e+00
6.758585538625925260e-01,-2.130305209133369349e-01,0.000000000000000000e+00
6.545729291485603563e-01,-1.931501616729872639e-01,0.000000000000000000e+00
6.275262962366504604e-01,-1.812827423428768070e-01,0.000000000000000000e+00
6.044774403371229177e-01,-1.627503450906238325e-01,0.000000000000000000e+00
5.783026208925429179e-01,-1.490295686234865413e-01,0.000000000000000000e+00
5.497435503759101616e-01,-1.415116751643999415e-01,0.000000000000000000e+00
5.202858605520428448e-01,-1.388872502679460441e-01,0.000000000000000000e+00
4.907057723631511603e-01,-1.396922225001114848e-01,0.000000000000000000e+00
4.612461975808297976e-01,-1.425505514933285978e-01,0.000000000000000000e+00
4.319456153008169874e-01,-1.467181851086596933e-01,0.000000000000000000e+00
4.028340371851301671e-01,-1.520786170593837749e-01,0.000000000000000000e+00
3.737586566045440484e-01,-1.575842643066711346e-01,0.000000000000000000e+00
3.442583231453082981e-01,-1.597198982109220011e-01,0.000000000000000000e+00
3.146786319396119302e-01,-1.589033133862851610e-01,0.000000000000000000e+00
2.852667579252659014e-01,-1.558139217414076794e-01,0.000000000000000000e+00
