281,316,300,307,335,336,337,338,339
225,265,298,289,340,341,342,343,344
229,280,317,279,345,346,347,348,349
313,301,221,278,350,351,352,353,354
316,303,294,293,355,356,357,358,359
247,192,191,182,360,361,362,363,364
199,36,37,38,365,120,121,366,367
279,317,320,296,347,368,369,370,371
240,210,256,258,372,373,374,375,376
318,265,189,232,377,378,379,380,381
46,208,255,45,382,383,384,129,385
278,306,321,313,386,387,388,353,389
256,67,68,69,390,151,152,391,392
301,305,292,221,393,394,395,351,396
315,328,275,304,397,398,399,400,401
73,196,71,72,402,403,155,156,404
271,294,303,277,405,356,406,407,408
45,255,274,262,384,409,410,411,412
308,264,228,233,413,414,415,416,417
315,304,276,274,400,418,419,420,421
71,196,258,70,403,422,423,154,424
51,52,213,177,135,425,426,427,428
317,330,322,320,429,430,431,368,432
322,326,333,320,433,434,435,431,436
275,173,235,304,437,438,439,399,440
178,3,4,186,441,87,442,443,444
184,195,192,247,445,446,360,447,448
201,234,181,183,449,450,451,452,453
319,238,224,270,454,455,456,457,458
331,273,246,217,459,460,461,462,463
198,237,306,278,464,465,386,466,467
248,242,195,184,468,469,445,470,471
246,0,1,217,472,84,473,461,474
280,236,214,228,475,476,477,478,479
239,193,6,7,480,481,90,482,483
309,231,291,285,484,485,486,487,488
33,253,191,32,489,490,491,116,492
274,276,234,262,419,493,494,410,495
259,291,231,186,496,485,497,498,499
42,247,182,41,500,363,501,125,502
299,280,228,264,503,478,414,504,505
236,185,77,214,506,507,508,476,509
233,209,188,287,510,511,512,513,514
319,255,208,194,515,383,516,517,518
270,314,321,328,519,520,521,522,523
44,248,184,43,524,470,525,127,526
66,210,200,65,527,528,529,149,530
331,217,1,2,462,473,85,531,532
311,322,330,308,533,430,534,535,536
0,246,188,83,472,537,538,167,539
40,199,38,39,540,366,122,123,541
238,218,177,224,542,543,544,455,545
181,204,26,27,546,547,110,548,549
330,317,280,299,429,346,503,550,551
77,185,257,240,507,552,553,554,555
278,221,169,198,352,556,557,466,558
328,321,306,275,521,387,559,398,560
302,327,312,266,561,562,563,564,565
64,229,279,168,566,348,567,568,569
208,48,49,194,570,132,571,516,572
239,180,285,291,573,574,486,575,576
192,31,32,191,577,115,491,361,578
