2.500000000000000000e-01,1.218035790217933262e-01
2.549129159437457104e-01,1.054760257020546238e-01
2.656874208239703439e-01,9.196173280111911985e-02
2.649101458113498064e-01,7.717555068413016472e-02
2.625225447770702103e-01,6.011229732652299818e-02
2.564537186819662029e-01,4.530481859362144037e-02
2.645242674499111435e-01,3.382424009826157790e-02
2.818386398950477600e-01,3.200473697367334225e-02
2.984708338714504583e-01,2.689198860196805735e-02
3.153349270656135017e-01,2.243981719741632019e-02
3.320509610739662554e-01,1.748685655819110299e-02
3.491580387688146825e-01,1.411218694310994830e-02
3.664524652248824510e-01,1.188762852950214603e-02
3.838291254673015240e-01,1.040885748352623347e-02
4.012438380125564752e-01,9.454701947040350038e-03
4.186776698893229232e-01,8.853866292927701359e-03
4.361110749393508623e-01,8.489017843315497039e-03
4.535516249569776503e-01,8.331375839544021347e-03
4.709898706494213272e-01,8.549758350871164772e-03
4.883995709308651678e-01,9.579283439140337877e-03
5.057196001711251609e-01,1.159993816504250978e-02
5.229845538534291238e-01,1.408976971255537433e-02
5.400463675117068707e-01,1.765834721215553058e-02
5.570792367504864284e-01,2.134980854247495521e-02
5.744836193855880069e-01,2.131475864396967929e-02
5.918031539638093363e-01,1.929898285229527527e-02
6.092011927467468890e-01,1.808274776493526068e-02
6.266543451252456487e-01,1.822004026672984639e-02
6.437864635749608322e-01,2.125327479784435911e-02
6.610296461824400893e-01,2.007118760033532734e-02
6.775058753351184127e-01,1.432701115932402680e-02
6.939171154454479851e-01,8.489902145598186844e-03
7.105912557085531933e-01,3.361868386262274397e-03
7.277939845631925531e-01,5.326999308450458765e-04
7.405522574283947002e-01,2.978555896713118607e-03
7.492455579423713541e-01,1.039889457149979768e-02
7.380072490864845181e-01,2.351939930425923572e-02
7.423354001513029488e-01,2.620335718717564308e-02
7.482525620115068055e-01,3.710731205370560587e-02
7.382707086576282274e-01,5.074426074875187237e-02
7.223593804859334000e-01,5.788076765075939045e-02
7.058802293984296483e-01,6.345295364899765367e-02
6.887191976246131997e-01,6.650161708483351419e-02
6.718387867638871969e-01,7.089299852192208762e-02
6.549401777438890182e-01,7.503951287899926492e-02
6.375911520607862037e-01,7.484114901798229191e-02
6.436479906825851582e-01,7.986238385226832048e-02
6.482363005630827901e-01,9.459426852346874970e-02
6.356941667203650503e-01,1.063083774483245814e-01
6.197574726118570965e-01,1.133010198351735442e-01
6.061763896275828012e-01,1.242208687889579388e-01
5.907533943811019705e-01,1.323055652537697968e-01
5.739255262938152136e-01,1.367353354506011531e-01
5.565681645329153548e-01,1.382817259725474535e-01
5.391386819535339825e-01,1.378074119878216763e-01
5.217802095181043320e-01,1.361231980978804268e-01
5.045154202735949722e-01,1.336675023260558981e-01
4.873619979989376461e-01,1.305089737000935668e-01
4.702299044067177469e-01,1.272648798295130668e-01
4.528474157261470623e-01,1.260064997431394607e-01
4.354181670612706778e-01,1.264876562185599518e-01
4.180878013609914401e-01,1.283080192111050455e-01
4.007489450144914311e-01,1.301114026310997429e-01
3.833694629385958064e-01,1.287884592822761409e-01
3.733661756075371541e-01,1.388622086463092153e-01
3.829603845324160982e-01,1.498389984667827524e-01
3.995762678613039576e-01,1.546439960192484142e-01
4.164439184707737773e-01,1.584294994228078179e-01
4.294798667762795841e-01,1.655479026805549703e-01
4.186293193690141523e-01,1.766022658239262966e-01
4.018736659123980370e-01,1.790834375973901771e-01
