212,250,254,253,425,426,427,428
250,214,251,254,429,430,431,426
254,251,215,252,431,432,433,434
253,254,252,213,427,434,435,436
220,255,259,258,437,438,439,440
255,10,256,259,441,442,443,438
259,256,24,257,443,444,445,446
258,259,257,223,439,446,447,448
96,260,264,263,449,450,451,452
260,221,261,264,453,454,455,450
264,261,226,262,455,456,457,458
263,264,262,218,451,458,459,460
219,265,267,266,461,462,463,464
265,94,95,267,465,198,466,462
267,95,96,263,466,199,452,467
266,267,263,218,463,467,460,468
4,268,270,3,469,470,471,107
268,227,269,270,472,473,474,470
270,269,0,1,474,475,104,476
3,270,1,2,471,476,105,106
212,271,274,273,477,478,479,480
271,88,89,274,481,192,482,478
274,89,90,272,482,193,483,484
273,274,272,229,479,484,485,486
32,33,276,31,136,487,488,135
33,34,275,276,137,489,490,487
276,275,28,29,490,491,132,492
31,276,29,30,488,492,133,134
226,277,281,280,493,494,495,496
277,237,278,281,497,498,499,494
281,278,225,279,499,500,501,502
280,281,279,236,495,502,503,504
238,282,286,285,505,506,507,508
282,231,283,286,509,510,511,506
286,283,219,284,511,512,513,514
285,286,284,236,507,514,515,516
66,67,288,287,170,517,518,519
67,68,69,288,171,172,520,517
288,69,70,71,520,173,174,521
287,288,71,72,518,521,175,522
226,280,289,262,496,523,524,457
280,236,284,289,504,515,525,523
289,284,219,266,525,513,464,526
262,289,266,218,524,526,468,459
10,11,291,256,114,527,528,442
11,12,290,291,115,529,530,527
291,290,22,23,530,531,126,532
256,291,23,24,528,532,127,444
18,19,293,17,122,533,534,121
19,20,292,293,123,535,536,533
293,292,14,15,536,537,118,538
17,293,15,16,534,538,119,120
12,13,294,290,116,539,540,529
13,14,292,294,117,537,541,539
294,292,20,21,541,535,124,542
290,294,21,22,540,542,125,531
235,295,298,297,543,544,545,546
295,228,296,298,547,548,549,544
298,296,6,7,549,550,110,551
297,298,7,8,545,551,111,552
10,255,300,9,441,553,554,113
255,220,299,300,437,555,556,553
300,299,235,297,556,557,546,558
9,300,297,8,554,558,552,112
237,301,303,278,559,560,561,498
301,44,45,303,562,148,563,560
303,45,46,302,563,149,564,565
278,303,302,225,561,565,566,500
217,304,308,307,567,568,569,570
304,216,305,308,571,572,573,568
308,305,233,306,573,574,575,576
307,308,306,215,569,576,577,578
222,309,311,310,579,580,581,582
309,221,260,311,583,453,584,580
311,260,96,97,584,449,200,585
310,311,97,98,581,585,201,586
213,312,313,253,587,588,589,436
312,86,87,313,590,190,591,588
313,87,88,271,591,191,481,592
253,313,271,212,589,592,477,428
224,314,316,315,593,594,595,596
314,238,285,316,597,508,598,594
316,285,236,279,598,516,503,599
315,316,279,225,595,599,501,600
211,317,320,319,601,602,603,604
317,82,83,320,605,186,606,602
320,83,84,318,606,187,607,608
319,320,318,210,603,608,609,610
244,321,325,324,611,612,613,614
321,245,322,325,615,616,617,612
325,322,240,323,617,618,619,620
324,325,323,222,613,620,621,622
242,326,330,329,623,624,625,626
326,241,327,330,627,628,629,624
330,327,214,328,629,630,631,632
329,330,328,230,625,632,633,634
210,331,333,332,635,636,637,638
331,213,252,333,639,435,640,636
333,252,215,306,640,433,577,641
332,333,306,233,637,641,575,642
214,250,335,328,429,643,644,631
250,212,273,335,425,480,645,643
335,273,229,334,645,486,646,647
328,335,334,230,644,647,648,633
243,336,338,337,649,650,651,652
336,80,81,338,653,184,654,650
338,81,82,317,654,185,605,655
337,338,317,211,651,655,601,656
233,339,341,332,657,658,659,642
339,232,340,341,660,661,662,658
341,340,211,319,662,663,604,664
332,341,319,210,659,664,610,638
247,342,344,343,665,666,667,668
342,243,337,344,669,652,670,666
344,337,211,340,670,656,663,671
343,344,340,232,667,671,661,672
247,343,348,347,668,673,674,675
343,232,345,348,672,676,677,673
348,345,234,346,677,678,679,680
347,348,346,58,674,680,681,682
229,349,351,334,683,684,685,646
349,231,282,351,686,509,687,684
351,282,238,350,687,505,688,689
334,351,350,230,685,689,690,648
241,352,353,327,691,692,693,628
352,217,307,353,694,570,695,692
353,307,215,251,695,578,432,696
327,353,251,214,693,696,430,630
102,103,356,101,206,697,698,205
103,0,354,356,207,699,700,697
356,354,244,355,700,701,702,703
101,356,355,100,698,703,704,204
224,357,358,314,705,706,707,593
357,242,329,358,708,626,709,706
358,329,230,350,709,634,690,710
314,358,350,238,707,710,688,597
232,339,360,345,660,711,712,676
339,233,305,360,657,574,713,711
360,305,216,359,713,572,714,715
345,360,359,234,712,715,716,678
248,361,365,364,717,718,719,720
361,249,362,365,721,722,723,718
365,362,243,363,723,724,725,726
364,365,363,64,719,726,727,728
58,346,367,57,681,729,730,161
346,234,359,367,679,716,731,729
367,359,216,366,731,714,732,733
57,367,366,56,730,733,734,160
239,368,370,369,735,736,737,738
368,237,277,370,739,497,740,736
370,277,226,261,740,493,456,741
369,370,261,221,737,741,454,742
237,368,372,301,739,743,744,559
368,239,371,372,735,745,746,743
372,371,42,43,746,747,146,748
301,372,43,44,744,748,147,562
231,373,374,283,749,750,751,510
373,92,93,374,752,196,753,750
374,93,94,265,753,197,465,754
283,374,265,219,751,754,461,512
224,375,377,357,755,756,757,705
375,48,49,377,758,152,759,756
377,49,50,376,759,153,760,761
357,377,376,242,757,761,762,708
210,318,378,331,609,763,764,635
318,84,85,378,607,188,765,763
378,85,86,312,765,189,590,766
331,378,312,213,764,766,587,639
229,272,379,349,485,767,768,683
272,90,91,379,483,194,769,767
379,91,92,373,769,195,752,770
349,379,373,231,768,770,749,686
242,376,381,326,762,771,772,623
376,50,51,381,760,154,773,771
381,51,52,380,773,155,774,775
326,381,380,241,772,775,776,627
239,369,383,382,738,777,778,779
369,221,309,383,742,583,780,777
383,309,222,323,780,579,621,781
382,383,323,240,778,781,619,782
100,355,384,99,704,783,784,203
355,244,324,384,702,614,785,783
384,324,222,310,785,622,582,786
99,384,310,98,784,786,586,202
225,302,385,315,566,787,788,600
302,46,47,385,564,150,789,787
385,47,48,375,789,151,758,790
315,385,375,224,788,790,755,596
241,380,387,352,776,791,792,691
380,52,53,387,774,156,793,791
387,53,54,386,793,157,794,795
352,387,386,217,792,795,796,694
34,35,390,275,138,797,798,489
35,36,388,390,139,799,800,797
390,388,208,389,800,801,802,803
275,390,389,28,798,803,804,491
209,391,393,392,805,806,807,808
391,208,388,393,809,801,810,806
393,388,36,37,810,799,140,811
392,393,37,38,807,811,141,812
209,394,395,391,813,814,815,805
394,26,27,395,816,130,817,814
395,27,28,389,817,131,804,818
391,395,389,208,815,818,802,809
244,354,397,321,701,819,820,611
354,0,269,397,699,475,821,819
397,269,227,396,821,473,822,823
321,397,396,245,820,823,824,615
240,322,400,399,618,825,826,827
322,245,396,400,616,824,828,825
400,396,227,398,828,822,829,830
399,400,398,228,826,830,831,832
76,401,404,75,833,834,835,179
401,246,402,404,836,837,838,834
404,402,249,403,838,839,840,841
75,404,403,74,835,841,842,178
220,405,407,299,843,844,845,555
405,42,371,407,846,747,847,844
407,371,239,406,847,745,848,849
299,407,406,235,845,849,850,557
76,77,409,401,180,851,852,833
77,78,79,409,181,182,853,851
409,79,80,408,853,183,854,855
401,409,408,246,852,855,856,836
240,399,410,382,827,857,858,782
399,228,295,410,832,547,859,857
410,295,235,406,859,543,850,860
382,410,406,239,858,860,848,779
249,361,412,403,721,861,862,840
361,248,411,412,717,863,864,861
412,411,72,73,864,865,176,866
403,412,73,74,862,866,177,842
64,65,413,364,168,867,868,728
65,66,287,413,169,519,869,867
413,287,72,411,869,522,865,870
364,413,411,248,868,870,863,720
26,394,415,25,816,871,872,129
394,209,414,415,813,873,874,871
415,414,223,257,874,875,447,876
25,415,257,24,872,876,445,128
227,268,416,398,472,877,878,829
268,4,5,416,469,108,879,877
416,5,6,296,879,109,550,880
398,416,296,228,878,880,548,831
38,39,418,392,142,881,882,812
39,40,417,418,143,883,884,881
418,417,223,414,884,885,875,886
392,418,414,209,882,886,873,808
247,419,420,342,887,888,889,665
419,62,63,420,890,166,891,888
420,63,64,363,891,167,727,892
342,420,363,243,889,892,725,669
40,41,421,417,144,893,894,883
41,42,405,421,145,846,895,893
421,405,220,258,895,843,440,896
417,421,258,223,894,896,448,885
62,419,422,61,890,897,898,165
419,247,347,422,887,675,899,897
422,347,58,59,899,682,162,900
61,422,59,60,898,900,163,164
217,386,423,304,796,901,902,567
386,54,55,423,794,158,903,901
423,55,56,366,903,159,734,904
304,423,366,216,902,904,732,571
246,408,424,402,856,905,906,837
408,80,336,424,854,653,907,905
424,336,243,362,907,649,724,908
402,424,362,249,906,908,722,839
