140,141,142,274,275,276
56,57,58,126,127,277
55,56,58,125,277,278
140,143,141,279,280,274
144,145,146,281,282,283
145,147,146,284,285,282
148,149,150,286,287,288
149,19,150,289,290,287
151,152,153,291,292,293
152,44,153,294,295,292
151,154,152,296,297,291
155,156,157,298,299,300
156,2,157,301,302,299
151,158,154,303,304,296
148,143,159,305,306,307
160,161,162,308,309,310
163,162,164,311,312,313
41,42,165,111,314,315
154,165,166,316,317,318
154,167,165,319,320,316
154,166,152,318,321,297
166,43,152,322,323,321
162,168,164,324,325,312
169,170,171,326,327,328
169,168,170,329,330,326
172,164,173,331,332,333
174,143,148,334,305,335
28,29,30,98,99,336
164,175,173,337,338,332
149,148,159,286,307,339
176,177,160,340,341,342
178,179,172,343,344,345
178,11,179,346,347,343
180,181,182,348,349,350
183,184,175,351,352,353
185,174,148,354,335,355
185,186,174,356,357,354
185,187,186,358,359,356
184,173,175,360,338,352
183,169,188,361,362,363
189,45,190,364,365,366
174,186,158,357,367,368
191,171,170,369,327,370
183,175,169,353,371,361
191,50,171,372,373,369
174,141,143,374,280,334
171,50,51,373,120,375
192,162,163,376,311,377
191,170,181,370,378,379
170,177,181,380,381,378
182,193,180,382,383,350
182,194,193,384,385,382
195,196,197,386,387,388
189,151,153,389,293,390
189,141,151,391,392,389
198,193,199,393,394,395
193,200,199,396,397,394
196,195,176,386,398,399
182,176,194,400,401,384
142,190,201,402,403,404
190,46,201,405,406,403
202,200,203,407,408,409
150,185,148,410,355,288
204,203,197,411,412,413
141,158,151,414,303,392
203,205,197,415,416,412
188,169,206,362,417,418
196,15,197,419,420,387
179,164,172,421,331,344
178,172,207,345,422,423
208,209,210,424,425,426
210,211,208,427,428,426
172,173,207,333,429,422
9,209,208,430,424,431
183,188,212,363,432,433
188,52,212,434,435,432
169,171,206,328,436,417
171,51,206,375,437,436
179,163,164,438,313,421
179,12,163,439,440,438
201,198,199,441,395,442
201,47,198,443,444,441
213,159,202,445,446,447
213,18,159,448,449,445
199,142,201,450,404,442
199,140,142,451,276,450
209,207,214,452,453,454
209,10,207,455,456,452
181,180,191,348,457,379
191,49,50,458,119,372
191,180,49,457,459,458
211,210,215,427,460,461
216,217,21,462,463,464
205,194,195,465,466,467
218,193,198,468,393,469
219,183,220,470,471,472
219,184,183,473,351,470
217,20,21,474,90,463
209,214,210,454,475,425
214,221,210,476,477,475
220,147,219,478,479,472
202,140,200,480,481,407
222,208,211,482,428,483
220,183,212,471,433,484
215,223,211,485,486,461
215,224,223,487,488,485
224,219,225,489,490,491
214,184,221,492,493,476
224,221,219,494,495,489
222,8,208,496,497,482
226,227,144,498,499,500
227,228,144,501,502,499
226,229,230,503,504,505
229,66,230,506,507,504
223,231,232,508,509,510
223,224,231,488,511,508
156,155,232,298,512,513
219,147,225,479,514,490
233,234,235,515,516,517
233,30,234,518,519,515
21,236,216,520,521,464
237,238,239,522,523,524
237,54,238,525,526,522
216,236,240,521,527,528
241,24,242,529,530,531
243,39,40,532,109,533
242,25,244,534,535,536
38,39,243,108,532,537
242,244,245,536,538,539
245,244,246,538,540,541
245,246,35,541,542,543
36,37,247,106,544,545
248,237,249,546,547,548
248,54,237,549,525,546
250,34,246,550,551,552
251,240,236,553,527,554
244,26,235,555,556,557
240,252,253,558,559,560
240,187,216,561,562,528
254,240,253,563,560,564
234,250,235,565,566,516
234,33,250,567,568,565
187,240,254,561,563,569
255,4,5,570,74,571
255,6,256,572,573,574
157,255,256,575,574,576
157,2,3,302,72,577
3,4,255,73,570,578
237,64,249,579,580,547
255,157,3,575,577,578
69,0,257,139,581,582
1,258,257,583,584,585
259,260,229,586,587,588
260,65,229,589,590,587
261,262,222,591,592,593
262,7,222,594,595,592
32,234,31,596,597,101
234,30,31,519,100,597
257,258,263,584,598,599
257,0,1,581,70,585
263,69,257,600,582,599
146,264,248,601,602,603
168,161,170,604,605,330
193,218,180,468,606,383
218,48,180,607,608,606
239,238,265,523,609,610
242,24,25,530,94,534
265,58,59,611,128,612
265,238,58,609,613,611
246,244,235,540,557,614
250,246,235,552,614,566
196,176,160,399,342,615
266,196,160,616,615,617
267,230,67,618,619,620
68,267,67,621,620,137
230,66,67,507,136,619
247,241,245,622,623,624
241,23,24,625,93,529
241,242,245,531,539,623
244,25,26,535,95,555
36,247,245,545,624,626
250,33,34,568,103,550
258,1,2,583,71,627
146,147,264,285,628,601
268,269,227,629,630,631
268,156,269,632,633,629
260,64,65,634,134,589
260,259,249,586,635,636
249,64,260,580,634,636
241,247,251,622,637,638
203,200,205,408,639,415
193,205,200,640,639,396
194,205,193,465,640,385
62,265,270,641,642,643
262,6,7,644,76,594
262,261,256,591,645,646
256,6,262,573,644,646
265,62,63,641,132,647
256,155,157,648,300,576
270,265,59,642,612,649
142,189,190,650,366,402
189,142,141,650,275,391
251,271,252,651,652,653
240,251,252,553,653,558
233,28,30,654,336,518
27,28,233,97,654,655
229,226,259,503,656,588
229,65,66,590,135,506
271,38,252,657,658,652
69,263,267,600,659,660
267,68,69,621,138,660
227,226,263,498,661,662
266,14,196,663,664,616
213,202,203,447,409,665
205,195,197,467,388,416
204,213,203,666,665,411
197,15,16,420,85,667
270,60,61,668,130,669
59,60,270,129,668,649
248,249,259,548,635,670
253,252,243,559,671,672
34,35,246,104,542,551
204,17,213,673,674,666
222,211,261,483,675,593
222,7,8,595,77,496
155,256,261,648,645,676
261,232,155,677,512,676
264,220,53,678,679,680
38,243,252,537,671,658
224,225,231,491,681,511
228,232,231,682,509,683
231,225,228,681,684,683
147,220,264,478,678,628
53,248,264,685,602,680
230,267,263,618,659,686
263,226,230,661,505,686
2,156,258,301,687,627
266,160,162,617,310,688
186,167,158,689,690,367
192,266,162,691,688,376
259,226,144,656,500,692
192,13,266,693,694,691
35,36,245,105,626,543
158,167,154,690,319,304
170,161,177,605,695,380
160,177,161,341,695,308
21,22,236,91,696,520
53,54,248,123,549,685
150,217,185,697,698,410
41,165,272,315,699,700
167,272,165,701,699,320
272,167,254,701,702,703
162,161,168,309,604,324
175,168,169,704,329,371
164,168,175,325,704,337
22,23,236,92,705,696
243,272,253,706,707,672
63,64,239,133,708,709
42,166,165,710,317,314
254,253,272,564,707,703
272,243,41,706,711,700
63,239,265,709,610,647
254,186,187,712,359,569
20,217,150,474,697,713
10,178,207,714,423,456
173,214,207,715,453,429
16,17,204,86,673,716
14,15,196,84,419,664
19,20,150,89,713,290
237,239,64,524,708,579
186,254,167,712,702,689
166,42,43,710,112,322
199,200,140,397,481,451
223,232,261,510,677,717
243,40,41,533,110,711
261,211,223,675,486,717
26,27,233,96,655,718
156,232,269,513,719,633
269,232,228,719,682,720
233,235,26,517,556,718
202,143,140,721,279,480
47,218,198,722,469,444
255,5,6,571,75,572
44,45,153,114,723,295
54,55,238,124,724,526
206,51,52,437,121,725
238,55,58,724,278,613
13,14,266,83,663,694
214,173,184,715,360,492
18,149,159,726,339,449
143,202,159,721,446,306
180,48,49,608,118,459
145,144,228,281,502,727
11,12,179,81,439,347
270,61,62,669,131,643
221,215,210,728,460,477
145,225,147,729,514,284
152,43,44,323,113,294
228,227,269,501,630,720
12,13,192,82,693,730
178,10,11,714,80,346
188,206,52,418,725,434
190,45,46,365,115,405
208,8,9,497,78,431
46,47,201,116,443,406
189,153,45,390,723,364
234,32,33,596,102,567
194,176,195,401,398,466
149,18,19,726,88,289
146,248,259,603,670,731
17,18,213,87,448,674
215,221,224,728,494,487
12,192,163,730,377,440
47,48,218,117,607,722
16,204,197,716,413,667
228,225,145,684,729,727
220,212,53,484,732,679
209,9,10,430,79,455
221,184,219,493,473,495
271,247,37,733,544,734
174,158,141,368,414,374
182,177,176,735,340,400
259,144,146,692,283,731
273,236,23,736,705,737
177,182,181,735,349,381
251,247,271,637,733,651
52,53,212,122,732,435
273,241,251,738,638,739
251,236,273,554,736,739
23,241,273,625,738,737
263,258,268,598,740,741
37,38,271,107,657,734
268,258,156,740,687,632
268,227,263,631,662,741
217,216,187,462,562,742
187,185,217,358,698,742
