4,5,6,8,9,10
4,6,7,10,11,12
0,3,2,13,14,15
0,2,1,15,16,17
0,1,5,17,18,19
0,5,4,19,8,20
1,2,6,16,21,22
1,6,5,22,9,18
2,3,7,14,23,24
2,7,6,24,11,21
3,0,4,13,20,25
3,4,7,25,12,23
